Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
District of Columbia,4/19/21,"11,700","11,700"
Maryland,4/19/21,"90,090","90,090"
Pennsylvania,4/19/21,"170,820","170,820"
Philadelphia,4/19/21,"24,570","24,570"
Virginia,4/19/21,"126,360","126,360"
West Virginia,4/19/21,"28,080","28,080"
Alabama,4/19/21,"72,540","72,540"
Florida,4/19/21,"314,730","314,730"
Georgia,4/19/21,"149,760","149,760"
Kentucky,4/19/21,"66,690","66,690"
Mississippi,4/19/21,"44,460","44,460"
North Carolina,4/19/21,"150,930","150,930"
South Carolina,4/19/21,"74,880","74,880"
Tennessee,4/19/21,"99,450","99,450"
Chicago,4/19/21,"40,950","40,950"
Illinois,4/19/21,"149,760","149,760"
Indiana,4/19/21,"97,110","97,110"
Michigan,4/19/21,"148,590","148,590"
Minnesota,4/19/21,"81,900","81,900"
Ohio,4/19/21,"173,160","173,160"
Wisconsin,4/19/21,"86,580","86,580"
Arkansas,4/19/21,"44,460","44,460"
Louisiana,4/19/21,"69,030","69,030"
New Mexico,4/19/21,"31,590","31,590"
Oklahoma,4/19/21,"57,330","57,330"
Texas,4/19/21,"394,290","394,290"
Iowa,4/19/21,"46,800","46,800"
Kansas,4/19/21,"42,120","42,120"
Missouri,4/19/21,"90,090","90,090"
Nebraska,4/19/21,"28,080","28,080"
Colorado,4/19/21,"81,900","81,900"
Montana,4/19/21,"16,380","16,380"
North Dakota,4/19/21,"11,700","11,700"
South Dakota,4/19/21,"12,870","12,870"
Utah,4/19/21,"40,950","40,950"
Wyoming,4/19/21,"9,360","9,360"
Arizona,4/19/21,"102,960","102,960"
California,4/19/21,"575,640","575,640"
Hawaii,4/19/21,"22,230","22,230"
Nevada,4/19/21,"43,290","43,290"
American Samoa,4/19/21,0,0
Guam,4/19/21,0,0
Marshall Islands,4/19/21,0,0
Micronesia,4/19/21,0,0
Mariana Islands,4/19/21,0,0
Palau,4/19/21,0,0
Alaska,4/19/21,0,0
Idaho,4/19/21,"24,570","24,570"
Oregon,4/19/21,"62,010","62,010"
Washington,4/19/21,"109,980","109,980"
Federal Entities,4/19/21,"203,580","203,580"
Connecticut,4/12/21,"51,480","51,480"
Maine,4/12/21,"19,890","19,890"
Massachusetts,4/12/21,"97,110","97,110"
New Hampshire,4/12/21,"19,890","19,890"
Rhode Island,4/12/21,"15,210","15,210"
Vermont,4/12/21,"9,360","9,360"
New Jersey,4/12/21,"124,020","124,020"
New York,4/12/21,"156,780","156,780"
New York City,4/12/21,"119,340","119,340"
Puerto Rico,4/12/21,"49,140","49,140"
U.S. Virgin Islands,4/12/21,"2,340","2,340"
Delaware,4/12/21,"14,040","14,040"
District of Columbia,4/12/21,"10,530","10,530"
Maryland,4/12/21,"83,070","83,070"
Pennsylvania,4/12/21,"159,120","159,120"
Philadelphia,4/12/21,"22,230","22,230"
Virginia,4/12/21,"117,000","117,000"
West Virginia,4/12/21,"26,910","26,910"
Alabama,4/12/21,"67,860","67,860"
Florida,4/12/21,"293,670","293,670"
Georgia,4/12/21,"139,230","139,230"
Kentucky,4/12/21,"62,010","62,010"
Mississippi,4/12/21,"40,950","40,950"
North Carolina,4/12/21,"140,400","140,400"
South Carolina,4/12/21,"69,030","69,030"
Tennessee,4/12/21,"92,430","92,430"
Chicago,4/12/21,"37,440","37,440"
Illinois,4/12/21,"139,230","139,230"
Indiana,4/12/21,"91,260","91,260"
Michigan,4/12/21,"139,230","139,230"
Minnesota,4/12/21,"76,050","76,050"
Ohio,4/12/21,"161,460","161,460"
Wisconsin,4/12/21,"80,730","80,730"
Arkansas,4/12/21,"40,950","40,950"
Louisiana,4/12/21,"64,350","64,350"
New Mexico,4/12/21,"29,250","29,250"
Oklahoma,4/12/21,"53,820","53,820"
Texas,4/12/21,"367,380","367,380"
Iowa,4/12/21,"43,290","43,290"
Kansas,4/12/21,"39,780","39,780"
Missouri,4/12/21,"84,240","84,240"
Nebraska,4/12/21,"26,910","26,910"
Colorado,4/12/21,"76,050","76,050"
Montana,4/12/21,"15,210","15,210"
North Dakota,4/12/21,"10,530","10,530"
South Dakota,4/12/21,"11,700","11,700"
Utah,4/12/21,"38,610","38,610"
Wyoming,4/12/21,"8,190","8,190"
Arizona,4/12/21,"95,940","95,940"
California,4/12/21,"535,860","535,860"
Hawaii,4/12/21,"19,890","19,890"
Nevada,4/12/21,"40,950","40,950"
American Samoa,4/12/21,0,0
Guam,4/12/21,0,0
Marshall Islands,4/12/21,0,0
Micronesia,4/12/21,0,0
Mariana Islands,4/12/21,0,0
Palau,4/12/21,0,0
Alaska,4/12/21,0,0
Idaho,4/12/21,"23,400","23,400"
Oregon,4/12/21,"58,500","58,500"
Washington,4/12/21,"102,960","102,960"
Federal Entities,4/12/21,"201,240","201,240"
Connecticut,4/5/21,"50,310","50,310"
Maine,4/5/21,"19,890","19,890"
Massachusetts,4/5/21,"95,940","95,940"
New Hampshire,4/5/21,"19,890","19,890"
Rhode Island,4/5/21,"15,210","15,210"
Vermont,4/5/21,"9,360","9,360"
New Jersey,4/5/21,"120,510","120,510"
New York,4/5/21,"153,270","153,270"
New York City,4/5/21,"117,000","117,000"
Puerto Rico,4/5/21,"47,970","47,970"
U.S. Virgin Islands,4/5/21,"2,340","2,340"
Delaware,4/5/21,"14,040","14,040"
District of Columbia,4/5/21,"10,530","10,530"
Maryland,4/5/21,"81,900","81,900"
Pennsylvania,4/5/21,"155,610","155,610"
Philadelphia,4/5/21,"22,230","22,230"
Virginia,4/5/21,"114,660","114,660"
West Virginia,4/5/21,"25,740","25,740"
Alabama,4/5/21,"66,690","66,690"
Florida,4/5/21,"286,650","286,650"
Georgia,4/5/21,"136,890","136,890"
Kentucky,4/5/21,"60,840","60,840"
Mississippi,4/5/21,"39,780","39,780"
North Carolina,4/5/21,"138,060","138,060"
South Carolina,4/5/21,"67,860","67,860"
Tennessee,4/5/21,"90,090","90,090"
Chicago,4/5/21,"37,440","37,440"
Illinois,4/5/21,"136,890","136,890"
Indiana,4/5/21,"88,920","88,920"
Michigan,4/5/21,"135,720","135,720"
Minnesota,4/5/21,"74,880","74,880"
Ohio,4/5/21,"157,950","157,950"
Wisconsin,4/5/21,"79,560","79,560"
Arkansas,4/5/21,"39,780","39,780"
Louisiana,4/5/21,"62,010","62,010"
New Mexico,4/5/21,"29,250","29,250"
Oklahoma,4/5/21,"52,650","52,650"
Texas,4/5/21,"359,190","359,190"
Iowa,4/5/21,"42,120","42,120"
Kansas,4/5/21,"38,610","38,610"
Missouri,4/5/21,"83,070","83,070"
Nebraska,4/5/21,"25,740","25,740"
Colorado,4/5/21,"74,880","74,880"
Montana,4/5/21,"15,210","15,210"
North Dakota,4/5/21,"10,530","10,530"
South Dakota,4/5/21,"11,700","11,700"
Utah,4/5/21,"37,440","37,440"
Wyoming,4/5/21,"8,190","8,190"
Arizona,4/5/21,"93,600","93,600"
California,4/5/21,"524,160","524,160"
Hawaii,4/5/21,"19,890","19,890"
Nevada,4/5/21,"39,780","39,780"
American Samoa,4/5/21,0,0
Guam,4/5/21,0,0
Marshall Islands,4/5/21,0,0
Micronesia,4/5/21,0,0
Mariana Islands,4/5/21,0,0
Palau,4/5/21,0,0
Alaska,4/5/21,0,0
Idaho,4/5/21,"22,230","22,230"
Oregon,4/5/21,"57,330","57,330"
Washington,4/5/21,"100,620","100,620"
Federal Entities,4/5/21,"243,360","243,360"
Connecticut,3/29/21,"60,840","60,840"
Maine,3/29/21,"23,400","23,400"
Massachusetts,3/29/21,"117,000","117,000"
New Hampshire,3/29/21,"23,400","23,400"
Rhode Island,3/29/21,"18,720","18,720"
Vermont,3/29/21,"11,700","11,700"
New Jersey,3/29/21,"148,590","148,590"
New York,3/29/21,"188,370","188,370"
New York City,3/29/21,"143,910","143,910"
Puerto Rico,3/29/21,"58,500","58,500"
U.S. Virgin Islands,3/29/21,"2,340","2,340"
Delaware,3/29/21,"16,380","16,380"
District of Columbia,3/29/21,"12,870","12,870"
Maryland,3/29/21,"100,620","100,620"
Pennsylvania,3/29/21,"190,710","190,710"
Philadelphia,3/29/21,"26,910","26,910"
Virginia,3/29/21,"140,400","140,400"
West Virginia,3/29/21,"31,590","31,590"
Alabama,3/29/21,"80,730","80,730"
Florida,3/29/21,"352,170","352,170"
Georgia,3/29/21,"167,310","167,310"
Kentucky,3/29/21,"73,710","73,710"
Mississippi,3/29/21,"49,140","49,140"
North Carolina,3/29/21,"168,480","168,480"
South Carolina,3/29/21,"83,070","83,070"
Tennessee,3/29/21,"111,150","111,150"
Chicago,3/29/21,"45,630","45,630"
Illinois,3/29/21,"167,310","167,310"
Indiana,3/29/21,"108,810","108,810"
Michigan,3/29/21,"166,140","166,140"
Minnesota,3/29/21,"91,260","91,260"
Ohio,3/29/21,"194,220","194,220"
Wisconsin,3/29/21,"97,110","97,110"
Arkansas,3/29/21,"49,140","49,140"
Louisiana,3/29/21,"77,220","77,220"
New Mexico,3/29/21,"35,100","35,100"
Oklahoma,3/29/21,"64,350","64,350"
Texas,3/29/21,"441,090","441,090"
Iowa,3/29/21,"51,480","51,480"
Kansas,3/29/21,"47,970","47,970"
Missouri,3/29/21,"101,790","101,790"
Nebraska,3/29/21,"31,590","31,590"
Colorado,3/29/21,"92,430","92,430"
Montana,3/29/21,"17,550","17,550"
North Dakota,3/29/21,"12,870","12,870"
South Dakota,3/29/21,"14,040","14,040"
Utah,3/29/21,"46,800","46,800"
Wyoming,3/29/21,"10,530","10,530"
Arizona,3/29/21,"114,660","114,660"
California,3/29/21,"644,670","644,670"
Hawaii,3/29/21,"24,570","24,570"
Nevada,3/29/21,"49,140","49,140"
American Samoa,3/29/21,"11,700",0
Guam,3/29/21,"25,740",0
Marshall Islands,3/29/21,0,0
Micronesia,3/29/21,0,0
Mariana Islands,3/29/21,"11,700",0
Palau,3/29/21,0,0
Alaska,3/29/21,"91,260","79,560"
Idaho,3/29/21,"26,910","26,910"
Oregon,3/29/21,"70,200","70,200"
Washington,3/29/21,"122,850","122,850"
Federal Entities,3/29/21,"201,240","201,240"
Connecticut,3/22/21,"50,310","50,310"
Maine,3/22/21,"19,890","19,890"
Massachusetts,3/22/21,"95,940","95,940"
New Hampshire,3/22/21,"19,890","19,890"
Rhode Island,3/22/21,"15,210","15,210"
Vermont,3/22/21,"9,360","9,360"
New Jersey,3/22/21,"120,510","120,510"
New York,3/22/21,"153,270","153,270"
New York City,3/22/21,"117,000","117,000"
Puerto Rico,3/22/21,"47,970","47,970"
U.S. Virgin Islands,3/22/21,"2,340","2,340"
Delaware,3/22/21,"14,040","14,040"
District of Columbia,3/22/21,"10,530","10,530"
Maryland,3/22/21,"81,900","81,900"
Pennsylvania,3/22/21,"155,610","155,610"
Philadelphia,3/22/21,"22,230","22,230"
Virginia,3/22/21,"114,660","114,660"
West Virginia,3/22/21,"25,740","25,740"
Alabama,3/22/21,"66,690","66,690"
Florida,3/22/21,"286,650","286,650"
Georgia,3/22/21,"136,890","136,890"
Kentucky,3/22/21,"60,840","60,840"
Mississippi,3/22/21,"39,780","39,780"
North Carolina,3/22/21,"138,060","138,060"
South Carolina,3/22/21,"67,860","67,860"
Tennessee,3/22/21,"90,090","90,090"
Chicago,3/22/21,"37,440","37,440"
Illinois,3/22/21,"136,890","136,890"
Indiana,3/22/21,"88,920","88,920"
Michigan,3/22/21,"135,720","135,720"
Minnesota,3/22/21,"74,880","74,880"
Ohio,3/22/21,"157,950","157,950"
Wisconsin,3/22/21,"79,560","79,560"
Arkansas,3/22/21,"39,780","39,780"
Louisiana,3/22/21,"62,010","62,010"
New Mexico,3/22/21,"29,250","29,250"
Oklahoma,3/22/21,"52,650","52,650"
Texas,3/22/21,"359,190","359,190"
Iowa,3/22/21,"42,120","42,120"
Kansas,3/22/21,"38,610","38,610"
Missouri,3/22/21,"83,070","83,070"
Nebraska,3/22/21,"25,740","25,740"
Colorado,3/22/21,"74,880","74,880"
Montana,3/22/21,"15,210","15,210"
North Dakota,3/22/21,"10,530","10,530"
South Dakota,3/22/21,"11,700","11,700"
Utah,3/22/21,"37,440","37,440"
Wyoming,3/22/21,"8,190","8,190"
Arizona,3/22/21,"93,600","93,600"
California,3/22/21,"524,160","524,160"
Hawaii,3/22/21,"19,890","19,890"
Nevada,3/22/21,"39,780","39,780"
American Samoa,3/22/21,0,0
Guam,3/22/21,0,0
Marshall Islands,3/22/21,0,0
Micronesia,3/22/21,0,0
Mariana Islands,3/22/21,0,0
Palau,3/22/21,0,0
Alaska,3/22/21,0,0
Idaho,3/22/21,"22,230","22,230"
Oregon,3/22/21,"57,330","57,330"
Washington,3/22/21,"100,620","100,620"
Federal Entities,3/22/21,"195,390","195,390"
Connecticut,3/15/21,"49,140","49,140"
Maine,3/15/21,"18,720","18,720"
Massachusetts,3/15/21,"93,600","93,600"
New Hampshire,3/15/21,"18,720","18,720"
Rhode Island,3/15/21,"15,210","15,210"
Vermont,3/15/21,"9,360","9,360"
New Jersey,3/15/21,"119,340","119,340"
New York,3/15/21,"150,930","150,930"
New York City,3/15/21,"114,660","114,660"
Puerto Rico,3/15/21,"46,800","46,800"
U.S. Virgin Islands,3/15/21,"2,340","2,340"
Delaware,3/15/21,"12,870","12,870"
District of Columbia,3/15/21,"10,530","10,530"
Maryland,3/15/21,"80,730","80,730"
Pennsylvania,3/15/21,"153,270","153,270"
Philadelphia,3/15/21,"22,230","22,230"
Virginia,3/15/21,"112,320","112,320"
West Virginia,3/15/21,"25,740","25,740"
Alabama,3/15/21,"65,520","65,520"
Florida,3/15/21,"281,970","281,970"
Georgia,3/15/21,"134,550","134,550"
Kentucky,3/15/21,"59,670","59,670"
Mississippi,3/15/21,"39,780","39,780"
North Carolina,3/15/21,"135,720","135,720"
South Carolina,3/15/21,"66,690","66,690"
Tennessee,3/15/21,"88,920","88,920"
Chicago,3/15/21,"36,270","36,270"
Illinois,3/15/21,"134,550","134,550"
Indiana,3/15/21,"87,750","87,750"
Michigan,3/15/21,"133,380","133,380"
Minnesota,3/15/21,"73,710","73,710"
Ohio,3/15/21,"155,610","155,610"
Wisconsin,3/15/21,"78,390","78,390"
Arkansas,3/15/21,"39,780","39,780"
Louisiana,3/15/21,"62,010","62,010"
New Mexico,3/15/21,"28,080","28,080"
Oklahoma,3/15/21,"51,480","51,480"
Texas,3/15/21,"353,340","353,340"
Iowa,3/15/21,"42,120","42,120"
Kansas,3/15/21,"38,610","38,610"
Missouri,3/15/21,"80,730","80,730"
Nebraska,3/15/21,"25,740","25,740"
Colorado,3/15/21,"73,710","73,710"
Montana,3/15/21,"14,040","14,040"
North Dakota,3/15/21,"10,530","10,530"
South Dakota,3/15/21,"11,700","11,700"
Utah,3/15/21,"37,440","37,440"
Wyoming,3/15/21,"8,190","8,190"
Arizona,3/15/21,"92,430","92,430"
California,3/15/21,"515,970","515,970"
Hawaii,3/15/21,"19,890","19,890"
Nevada,3/15/21,"38,610","38,610"
American Samoa,3/15/21,0,0
Guam,3/15/21,0,0
Marshall Islands,3/15/21,0,0
Micronesia,3/15/21,0,0
Mariana Islands,3/15/21,0,0
Palau,3/15/21,0,0
Alaska,3/15/21,0,0
Idaho,3/15/21,"22,230","22,230"
Oregon,3/15/21,"56,160","56,160"
Washington,3/15/21,"98,280","98,280"
Federal Entities,3/15/21,"182,520","182,520"
Connecticut,3/8/21,"45,630","45,630"
Maine,3/8/21,"17,550","17,550"
Massachusetts,3/8/21,"87,750","87,750"
New Hampshire,3/8/21,"17,550","17,550"
Rhode Island,3/8/21,"14,040","14,040"
Vermont,3/8/21,"8,190","8,190"
New Jersey,3/8/21,"111,150","111,150"
New York,3/8/21,"140,400","140,400"
New York City,3/8/21,"106,470","106,470"
Puerto Rico,3/8/21,"43,290","43,290"
U.S. Virgin Islands,3/8/21,"2,340","2,340"
Delaware,3/8/21,"12,870","12,870"
District of Columbia,3/8/21,"9,360","9,360"
Maryland,3/8/21,"74,880","74,880"
Pennsylvania,3/8/21,"141,570","141,570"
Philadelphia,3/8/21,"19,890","19,890"
Virginia,3/8/21,"105,300","105,300"
West Virginia,3/8/21,"23,400","23,400"
Alabama,3/8/21,"60,840","60,840"
Florida,3/8/21,"262,080","262,080"
Georgia,3/8/21,"125,190","125,190"
Kentucky,3/8/21,"54,990","54,990"
Mississippi,3/8/21,"36,270","36,270"
North Carolina,3/8/21,"126,360","126,360"
South Carolina,3/8/21,"62,010","62,010"
Tennessee,3/8/21,"83,070","83,070"
Chicago,3/8/21,"33,930","33,930"
Illinois,3/8/21,"125,190","125,190"
Indiana,3/8/21,"80,730","80,730"
Michigan,3/8/21,"124,020","124,020"
Minnesota,3/8/21,"67,860","67,860"
Ohio,3/8/21,"143,910","143,910"
Wisconsin,3/8/21,"72,540","72,540"
Arkansas,3/8/21,"37,440","37,440"
Louisiana,3/8/21,"57,330","57,330"
New Mexico,3/8/21,"25,740","25,740"
Oklahoma,3/8/21,"47,970","47,970"
Texas,3/8/21,"328,770","328,770"
Iowa,3/8/21,"38,610","38,610"
Kansas,3/8/21,"35,100","35,100"
Missouri,3/8/21,"76,050","76,050"
Nebraska,3/8/21,"23,400","23,400"
Colorado,3/8/21,"69,030","69,030"
Montana,3/8/21,"14,040","14,040"
North Dakota,3/8/21,"10,530","10,530"
South Dakota,3/8/21,"10,530","10,530"
Utah,3/8/21,"35,100","35,100"
Wyoming,3/8/21,"8,190","8,190"
Arizona,3/8/21,"85,410","85,410"
California,3/8/21,"479,700","479,700"
Hawaii,3/8/21,"18,720","18,720"
Nevada,3/8/21,"36,270","36,270"
American Samoa,3/8/21,0,0
Guam,3/8/21,0,0
Marshall Islands,3/8/21,0,0
Micronesia,3/8/21,0,0
Mariana Islands,3/8/21,0,0
Palau,3/8/21,0,0
Alaska,3/8/21,0,0
Idaho,3/8/21,"19,890","19,890"
Oregon,3/8/21,"51,480","51,480"
Washington,3/8/21,"91,260","91,260"
Federal Entities,3/8/21,"230,490","221,130"
Alabama,3/1/21,"54,990","54,990"
Alaska,3/1/21,"53,820","53,820"
American Samoa,3/1/21,"9,360",0
Arizona,3/1/21,"78,390","78,390"
Arkansas,3/1/21,"33,930","33,930"
California,3/1/21,"438,750","438,750"
Chicago,3/1/21,"31,590","31,590"
Colorado,3/1/21,"63,180","63,180"
Connecticut,3/1/21,"42,120","42,120"
Delaware,3/1/21,"11,700","11,700"
District of Columbia,3/1/21,"9,360","9,360"
Federal Entities,3/1/21,"209,430","190,710"
Florida,3/1/21,"239,850","239,850"
Georgia,3/1/21,"114,660","114,660"
Guam,3/1/21,"21,060",0
Hawaii,3/1/21,"16,380","16,380"
Idaho,3/1/21,"18,720","18,720"
Illinois,3/1/21,"114,660","114,660"
Indiana,3/1/21,"74,880","74,880"
Iowa,3/1/21,"35,100","35,100"
Kansas,3/1/21,"32,760","32,760"
Kentucky,3/1/21,"50,310","50,310"
Louisiana,3/1/21,"52,650","52,650"
Maine,3/1/21,"16,380","16,380"
Mariana Islands,3/1/21,"9,360",0
Marshall Islands,3/1/21,0,0
Maryland,3/1/21,"69,030","69,030"
Massachusetts,3/1/21,"79,560","79,560"
Michigan,3/1/21,"113,490","113,490"
Micronesia,3/1/21,0,0
Minnesota,3/1/21,"62,010","62,010"
Mississippi,3/1/21,"33,930","33,930"
Missouri,3/1/21,"69,030","69,030"
Montana,3/1/21,"12,870","12,870"
Nebraska,3/1/21,"22,230","22,230"
Nevada,3/1/21,"33,930","33,930"
New Hampshire,3/1/21,"16,380","16,380"
New Jersey,3/1/21,"101,790","101,790"
New Mexico,3/1/21,"24,570","24,570"
New York,3/1/21,"128,700","128,700"
New York City,3/1/21,"98,280","98,280"
North Carolina,3/1/21,"115,830","115,830"
North Dakota,3/1/21,"9,360","9,360"
Ohio,3/1/21,"132,210","132,210"
Oklahoma,3/1/21,"43,290","43,290"
Oregon,3/1/21,"47,970","47,970"
Palau,3/1/21,0,0
Pennsylvania,3/1/21,"129,870","129,870"
Philadelphia,3/1/21,"18,720","18,720"
Puerto Rico,3/1/21,"39,780","39,780"
Rhode Island,3/1/21,"12,870","12,870"
South Carolina,3/1/21,"57,330","57,330"
South Dakota,3/1/21,"10,530","10,530"
Tennessee,3/1/21,"76,050","76,050"
Texas,3/1/21,"300,690","300,690"
U.S. Virgin Islands,3/1/21,"2,340","2,340"
Utah,3/1/21,"31,590","31,590"
Vermont,3/1/21,"8,190","8,190"
Virginia,3/1/21,"95,940","95,940"
Washington,3/1/21,"84,240","84,240"
West Virginia,3/1/21,"22,230","22,230"
Wisconsin,3/1/21,"66,690","66,690"
Wyoming,3/1/21,"7,020","7,020"
Alabama,2/22/21,"47,970","47,970"
Alaska,2/22/21,0,0
American Samoa,2/22/21,0,0
Arizona,2/22/21,"69,030","69,030"
Arkansas,2/22/21,"29,250","29,250"
California,2/22/21,"382,590","382,590"
Chicago,2/22/21,"26,910","26,910"
Colorado,2/22/21,"54,990","54,990"
Connecticut,2/22/21,"36,270","36,270"
Delaware,2/22/21,"10,530","10,530"
District of Columbia,2/22/21,"8,190","8,190"
Federal Entities,2/22/21,"166,140","166,140"
Florida,2/22/21,"209,430","209,430"
Georgia,2/22/21,"99,450","99,450"
Guam,2/22/21,0,0
Hawaii,2/22/21,"15,210","15,210"
Idaho,2/22/21,"16,380","16,380"
Illinois,2/22/21,"99,450","99,450"
Indiana,2/22/21,"64,350","64,350"
Iowa,2/22/21,"31,590","31,590"
Kansas,2/22/21,"28,080","28,080"
Kentucky,2/22/21,"44,460","44,460"
Louisiana,2/22/21,"45,630","45,630"
Maine,2/22/21,"14,040","14,040"
Mariana Islands,2/22/21,0,0
Marshall Islands,2/22/21,0,0
Maryland,2/22/21,"59,670","59,670"
Massachusetts,2/22/21,"70,200","70,200"
Michigan,2/22/21,"99,450","99,450"
Micronesia,2/22/21,0,0
Minnesota,2/22/21,"54,990","54,990"
Mississippi,2/22/21,"29,250","29,250"
Missouri,2/22/21,"60,840","60,840"
Montana,2/22/21,"10,530","10,530"
Nebraska,2/22/21,"18,720","18,720"
Nevada,2/22/21,"29,250","29,250"
New Hampshire,2/22/21,"14,040","14,040"
New Jersey,2/22/21,"88,920","88,920"
New Mexico,2/22/21,"21,060","21,060"
New York,2/22/21,"112,320","112,320"
New York City,2/22/21,"85,410","85,410"
North Carolina,2/22/21,"100,620","100,620"
North Dakota,2/22/21,"8,190","8,190"
Ohio,2/22/21,"115,830","115,830"
Oklahoma,2/22/21,"38,610","38,610"
Oregon,2/22/21,"42,120","42,120"
Palau,2/22/21,0,0
Pennsylvania,2/22/21,"113,490","113,490"
Philadelphia,2/22/21,"16,380","16,380"
Puerto Rico,2/22/21,"35,100","35,100"
Rhode Island,2/22/21,"11,700","11,700"
South Carolina,2/22/21,"49,140","49,140"
South Dakota,2/22/21,"9,360","9,360"
Tennessee,2/22/21,"65,520","65,520"
Texas,2/22/21,"262,080","262,080"
U.S. Virgin Islands,2/22/21,"1,170","1,170"
Utah,2/22/21,"28,080","28,080"
Vermont,2/22/21,"7,020","7,020"
Virginia,2/22/21,"84,240","84,240"
Washington,2/22/21,"73,710","73,710"
West Virginia,2/22/21,"18,720","18,720"
Wisconsin,2/22/21,"58,500","58,500"
Wyoming,2/22/21,"5,850","5,850"
Alabama,2/15/21,"30,225","30,225"
Alaska,2/15/21,0,0
American Samoa,2/15/21,0,0
Arizona,2/15/21,"42,900","42,900"
Arkansas,2/15/21,"18,525","18,525"
California,2/15/21,"241,800","241,800"
Chicago,2/15/21,"17,550","17,550"
Colorado,2/15/21,"35,100","35,100"
Connecticut,2/15/21,"23,400","23,400"
Delaware,2/15/21,"6,825","6,825"
District of Columbia,2/15/21,"4,875","4,875"
Federal Entities,2/15/21,"105,300","105,300"
Florida,2/15/21,"132,600","132,600"
Georgia,2/15/21,"63,375","63,375"
Guam,2/15/21,0,0
Hawaii,2/15/21,"9,750","9,750"
Idaho,2/15/21,"10,725","10,725"
Illinois,2/15/21,"63,375","63,375"
Indiana,2/15/21,"40,950","40,950"
Iowa,2/15/21,"19,500","19,500"
Kansas,2/15/21,"18,525","18,525"
Kentucky,2/15/21,"28,275","28,275"
Louisiana,2/15/21,"29,250","29,250"
Maine,2/15/21,"8,775","8,775"
Mariana Islands,2/15/21,0,0
Marshall Islands,2/15/21,0,0
Maryland,2/15/21,"38,025","38,025"
Massachusetts,2/15/21,"43,875","43,875"
Michigan,2/15/21,"62,400","62,400"
Micronesia,2/15/21,0,0
Minnesota,2/15/21,"34,125","34,125"
Mississippi,2/15/21,"18,525","18,525"
Missouri,2/15/21,"38,025","38,025"
Montana,2/15/21,"6,825","6,825"
Nebraska,2/15/21,"11,700","11,700"
Nevada,2/15/21,"18,525","18,525"
