Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
New Hampshire,2/15/21,"8,775","8,775"
New Jersey,2/15/21,"55,575","55,575"
New Mexico,2/15/21,"13,650","13,650"
New York,2/15/21,"71,175","71,175"
New York City,2/15/21,"53,625","53,625"
North Carolina,2/15/21,"63,375","63,375"
North Dakota,2/15/21,"4,875","4,875"
Ohio,2/15/21,"73,125","73,125"
Oklahoma,2/15/21,"24,375","24,375"
Oregon,2/15/21,"26,325","26,325"
Palau,2/15/21,0,0
Pennsylvania,2/15/21,"71,175","71,175"
Philadelphia,2/15/21,"10,725","10,725"
Puerto Rico,2/15/21,"22,425","22,425"
Rhode Island,2/15/21,"6,825","6,825"
South Carolina,2/15/21,"31,200","31,200"
South Dakota,2/15/21,"5,850","5,850"
Tennessee,2/15/21,"41,925","41,925"
Texas,2/15/21,"165,750","165,750"
U.S. Virgin Islands,2/15/21,975,975
Utah,2/15/21,"17,550","17,550"
Vermont,2/15/21,"4,875","4,875"
Virginia,2/15/21,"52,650","52,650"
Washington,2/15/21,"46,800","46,800"
West Virginia,2/15/21,"11,700","11,700"
Wisconsin,2/15/21,"37,050","37,050"
Wyoming,2/15/21,"3,900","3,900"
Alabama,2/8/21,"30,225","30,225"
Alaska,2/8/21,0,0
American Samoa,2/8/21,0,0
Arizona,2/8/21,"42,900","42,900"
Arkansas,2/8/21,"18,525","18,525"
California,2/8/21,"241,800","241,800"
Chicago,2/8/21,"17,550","17,550"
Colorado,2/8/21,"35,100","35,100"
Connecticut,2/8/21,"23,400","23,400"
Delaware,2/8/21,"6,825","6,825"
District of Columbia,2/8/21,"4,875","4,875"
Federal Entities,2/8/21,"105,300","105,300"
Florida,2/8/21,"132,600","132,600"
Georgia,2/8/21,"63,375","63,375"
Guam,2/8/21,0,0
Hawaii,2/8/21,"9,750","9,750"
Idaho,2/8/21,"10,725","10,725"
Illinois,2/8/21,"63,375","63,375"
Indiana,2/8/21,"40,950","40,950"
Iowa,2/8/21,"19,500","19,500"
Kansas,2/8/21,"18,525","18,525"
Kentucky,2/8/21,"28,275","28,275"
Louisiana,2/8/21,"29,250","29,250"
Maine,2/8/21,"8,775","8,775"
Mariana Islands,2/8/21,0,0
Marshall Islands,2/8/21,0,0
Maryland,2/8/21,"38,025","38,025"
Massachusetts,2/8/21,"43,875","43,875"
Michigan,2/8/21,"62,400","62,400"
Micronesia,2/8/21,0,0
Minnesota,2/8/21,"34,125","34,125"
Mississippi,2/8/21,"18,525","18,525"
Missouri,2/8/21,"38,025","38,025"
Montana,2/8/21,"6,825","6,825"
Nebraska,2/8/21,"11,700","11,700"
Nevada,2/8/21,"18,525","18,525"
New Hampshire,2/8/21,"8,775","8,775"
New Jersey,2/8/21,"55,575","55,575"
New Mexico,2/8/21,"13,650","13,650"
New York,2/8/21,"71,175","71,175"
New York City,2/8/21,"53,625","53,625"
North Carolina,2/8/21,"63,375","63,375"
North Dakota,2/8/21,"4,875","4,875"
Ohio,2/8/21,"73,125","73,125"
Oklahoma,2/8/21,"24,375","24,375"
Oregon,2/8/21,"26,325","26,325"
Palau,2/8/21,0,0
Pennsylvania,2/8/21,"71,175","71,175"
Philadelphia,2/8/21,"10,725","10,725"
Puerto Rico,2/8/21,"22,425","22,425"
Rhode Island,2/8/21,"6,825","6,825"
South Carolina,2/8/21,"31,200","31,200"
South Dakota,2/8/21,"5,850","5,850"
Tennessee,2/8/21,"41,925","41,925"
Texas,2/8/21,"165,750","165,750"
U.S. Virgin Islands,2/8/21,975,975
Utah,2/8/21,"17,550","17,550"
Vermont,2/8/21,"4,875","4,875"
Virginia,2/8/21,"52,650","52,650"
Washington,2/8/21,"46,800","46,800"
West Virginia,2/8/21,"11,700","11,700"
Wisconsin,2/8/21,"37,050","37,050"
Wyoming,2/8/21,"3,900","3,900"
Alabama,2/1/21,"30,225","30,225"
Alaska,2/1/21,"27,300","27,300"
American Samoa,2/1/21,"7,800",0
Arizona,2/1/21,"42,900","42,900"
Arkansas,2/1/21,"18,525","18,525"
California,2/1/21,"240,825","240,825"
Chicago,2/1/21,"17,550","17,550"
Colorado,2/1/21,"34,125","34,125"
Connecticut,2/1/21,"23,400","23,400"
Delaware,2/1/21,"6,825","6,825"
District of Columbia,2/1/21,"4,875","4,875"
Federal Entities,2/1/21,"119,925","104,325"
Florida,2/1/21,"131,625","131,625"
Georgia,2/1/21,"62,400","62,400"
Guam,2/1/21,"7,800",0
Hawaii,2/1/21,"9,750","9,750"
Idaho,2/1/21,"10,725","10,725"
Illinois,2/1/21,"62,400","62,400"
Indiana,2/1/21,"40,950","40,950"
Iowa,2/1/21,"19,500","19,500"
Kansas,2/1/21,"17,550","17,550"
Kentucky,2/1/21,"28,275","28,275"
Louisiana,2/1/21,"29,250","29,250"
Maine,2/1/21,"8,775","8,775"
Mariana Islands,2/1/21,"7,800",0
Marshall Islands,2/1/21,0,0
Maryland,2/1/21,"38,025","38,025"
Massachusetts,2/1/21,"43,875","43,875"
Michigan,2/1/21,"62,400","62,400"
Micronesia,2/1/21,0,0
Minnesota,2/1/21,"34,125","34,125"
Mississippi,2/1/21,"18,525","18,525"
Missouri,2/1/21,"38,025","38,025"
Montana,2/1/21,"6,825","6,825"
Nebraska,2/1/21,"11,700","11,700"
Nevada,2/1/21,"18,525","18,525"
New Hampshire,2/1/21,"8,775","8,775"
New Jersey,2/1/21,"55,575","55,575"
New Mexico,2/1/21,"13,650","13,650"
New York,2/1/21,"70,200","70,200"
New York City,2/1/21,"53,625","53,625"
North Carolina,2/1/21,"63,375","63,375"
North Dakota,2/1/21,"4,875","4,875"
Ohio,2/1/21,"72,150","72,150"
Oklahoma,2/1/21,"24,375","24,375"
Oregon,2/1/21,"26,325","26,325"
Palau,2/1/21,0,0
Pennsylvania,2/1/21,"71,175","71,175"
Philadelphia,2/1/21,"10,725","10,725"
Puerto Rico,2/1/21,"22,425","22,425"
Rhode Island,2/1/21,"6,825","6,825"
South Carolina,2/1/21,"31,200","31,200"
South Dakota,2/1/21,"5,850","5,850"
Tennessee,2/1/21,"41,925","41,925"
Texas,2/1/21,"164,775","164,775"
U.S. Virgin Islands,2/1/21,975,975
Utah,2/1/21,"17,550","17,550"
Vermont,2/1/21,"4,875","4,875"
Virginia,2/1/21,"52,650","52,650"
Washington,2/1/21,"45,825","45,825"
West Virginia,2/1/21,"11,700","11,700"
Wisconsin,2/1/21,"36,075","36,075"
Wyoming,2/1/21,"3,900","3,900"
Alabama,1/25/21,"30,225","30,225"
Alaska,1/25/21,0,0
American Samoa,1/25/21,0,0
Arizona,1/25/21,"42,900","42,900"
Arkansas,1/25/21,"18,525","18,525"
California,1/25/21,"241,800","241,800"
Chicago,1/25/21,"17,550","17,550"
Colorado,1/25/21,"35,100","35,100"
Connecticut,1/25/21,"23,400","23,400"
Delaware,1/25/21,"6,825","6,825"
District of Columbia,1/25/21,"4,875","4,875"
Federal Entities,1/25/21,"105,300","105,300"
Florida,1/25/21,"132,600","132,600"
Georgia,1/25/21,"63,375","63,375"
Guam,1/25/21,0,0
Hawaii,1/25/21,"9,750","9,750"
Idaho,1/25/21,"10,725","10,725"
Illinois,1/25/21,"63,375","63,375"
Indiana,1/25/21,"40,950","40,950"
Iowa,1/25/21,"19,500","19,500"
Kansas,1/25/21,"18,525","18,525"
Kentucky,1/25/21,"28,275","28,275"
Louisiana,1/25/21,"29,250","29,250"
Maine,1/25/21,"8,775","8,775"
Mariana Islands,1/25/21,0,0
Marshall Islands,1/25/21,0,0
Maryland,1/25/21,"38,025","38,025"
Massachusetts,1/25/21,"43,875","43,875"
Michigan,1/25/21,"62,400","62,400"
Micronesia,1/25/21,0,0
Minnesota,1/25/21,"34,125","34,125"
Mississippi,1/25/21,"18,525","18,525"
Missouri,1/25/21,"38,025","38,025"
Montana,1/25/21,"6,825","6,825"
Nebraska,1/25/21,"11,700","11,700"
Nevada,1/25/21,"18,525","18,525"
New Hampshire,1/25/21,"8,775","8,775"
New Jersey,1/25/21,"55,575","55,575"
New Mexico,1/25/21,"13,650","13,650"
New York,1/25/21,"71,175","71,175"
New York City,1/25/21,"53,625","53,625"
North Carolina,1/25/21,"63,375","63,375"
North Dakota,1/25/21,"4,875","4,875"
Ohio,1/25/21,"73,125","73,125"
Oklahoma,1/25/21,"24,375","24,375"
Oregon,1/25/21,"26,325","26,325"
Palau,1/25/21,0,0
Pennsylvania,1/25/21,"71,175","71,175"
Philadelphia,1/25/21,"10,725","10,725"
Puerto Rico,1/25/21,"22,425","22,425"
Rhode Island,1/25/21,"6,825","6,825"
South Carolina,1/25/21,"31,200","31,200"
South Dakota,1/25/21,"5,850","5,850"
Tennessee,1/25/21,"41,925","41,925"
Texas,1/25/21,"165,750","165,750"
U.S. Virgin Islands,1/25/21,975,975
Utah,1/25/21,"17,550","17,550"
Vermont,1/25/21,"4,875","4,875"
Virginia,1/25/21,"52,650","52,650"
Washington,1/25/21,"46,800","46,800"
West Virginia,1/25/21,"11,700","11,700"
Wisconsin,1/25/21,"37,050","37,050"
Wyoming,1/25/21,"3,900","3,900"
Alabama,1/18/21,"30,225","30,225"
Alaska,1/18/21,0,0
American Samoa,1/18/21,0,0
Arizona,1/18/21,"42,900","42,900"
Arkansas,1/18/21,"18,525","18,525"
California,1/18/21,"241,800","241,800"
Chicago,1/18/21,"17,550","17,550"
Colorado,1/18/21,"35,100","35,100"
Connecticut,1/18/21,"23,400","23,400"
Delaware,1/18/21,"6,825","6,825"
District of Columbia,1/18/21,"4,875","4,875"
Federal Entities,1/18/21,"105,300","105,300"
Florida,1/18/21,"132,600","132,600"
Georgia,1/18/21,"63,375","63,375"
Guam,1/18/21,0,0
Hawaii,1/18/21,"9,750","9,750"
Idaho,1/18/21,"10,725","10,725"
Illinois,1/18/21,"63,375","63,375"
Indiana,1/18/21,"40,950","40,950"
Iowa,1/18/21,"19,500","19,500"
Kansas,1/18/21,"18,525","18,525"
Kentucky,1/18/21,"28,275","28,275"
Louisiana,1/18/21,"29,250","29,250"
Maine,1/18/21,"8,775","8,775"
Mariana Islands,1/18/21,0,0
Marshall Islands,1/18/21,0,0
Maryland,1/18/21,"38,025","38,025"
Massachusetts,1/18/21,"43,875","43,875"
Michigan,1/18/21,"62,400","62,400"
Micronesia,1/18/21,0,0
Minnesota,1/18/21,"34,125","34,125"
Mississippi,1/18/21,"18,525","18,525"
Missouri,1/18/21,"38,025","38,025"
Montana,1/18/21,"6,825","6,825"
Nebraska,1/18/21,"11,700","11,700"
Nevada,1/18/21,"18,525","18,525"
New Hampshire,1/18/21,"8,775","8,775"
New Jersey,1/18/21,"55,575","55,575"
New Mexico,1/18/21,"13,650","13,650"
New York,1/18/21,"71,175","71,175"
New York City,1/18/21,"53,625","53,625"
North Carolina,1/18/21,"63,375","63,375"
North Dakota,1/18/21,"4,875","4,875"
Ohio,1/18/21,"73,125","73,125"
Oklahoma,1/18/21,"24,375","24,375"
Oregon,1/18/21,"26,325","26,325"
Palau,1/18/21,0,0
Pennsylvania,1/18/21,"71,175","71,175"
Philadelphia,1/18/21,"10,725","10,725"
Puerto Rico,1/18/21,"22,425","22,425"
Rhode Island,1/18/21,"6,825","6,825"
South Carolina,1/18/21,"31,200","31,200"
South Dakota,1/18/21,"5,850","5,850"
Tennessee,1/18/21,"41,925","41,925"
Texas,1/18/21,"165,750","165,750"
U.S. Virgin Islands,1/18/21,975,975
Utah,1/18/21,"17,550","17,550"
Vermont,1/18/21,"4,875","4,875"
Virginia,1/18/21,"52,650","52,650"
Washington,1/18/21,"46,800","46,800"
West Virginia,1/18/21,"11,700","11,700"
Wisconsin,1/18/21,"37,050","37,050"
Wyoming,1/18/21,"3,900","3,900"
Alabama,1/11/21,"29,250","29,250"
Alaska,1/11/21,0,0
American Samoa,1/11/21,0,0
Arizona,1/11/21,"41,925","41,925"
Arkansas,1/11/21,"18,525","18,525"
California,1/11/21,"233,025","233,025"
Chicago,1/11/21,"16,575","16,575"
Colorado,1/11/21,"33,150","33,150"
Connecticut,1/11/21,"22,425","22,425"
Delaware,1/11/21,"5,850","5,850"
District of Columbia,1/11/21,"4,875","4,875"
Federal Entities,1/11/21,"102,375","102,375"
Florida,1/11/21,"127,725","127,725"
Georgia,1/11/21,"60,450","60,450"
Guam,1/11/21,0,0
Hawaii,1/11/21,"8,775","8,775"
Idaho,1/11/21,"9,750","9,750"
Illinois,1/11/21,"60,450","60,450"
Indiana,1/11/21,"39,975","39,975"
Iowa,1/11/21,"19,500","19,500"
Kansas,1/11/21,"17,550","17,550"
Kentucky,1/11/21,"27,300","27,300"
Louisiana,1/11/21,"28,275","28,275"
Maine,1/11/21,"8,775","8,775"
Mariana Islands,1/11/21,0,0
Marshall Islands,1/11/21,0,0
Maryland,1/11/21,"36,075","36,075"
Massachusetts,1/11/21,"42,900","42,900"
Michigan,1/11/21,"60,450","60,450"
Micronesia,1/11/21,0,0
Minnesota,1/11/21,"33,150","33,150"
Mississippi,1/11/21,"17,550","17,550"
Missouri,1/11/21,"37,050","37,050"
Montana,1/11/21,"6,825","6,825"
Nebraska,1/11/21,"11,700","11,700"
Nevada,1/11/21,"17,550","17,550"
New Hampshire,1/11/21,"8,775","8,775"
New Jersey,1/11/21,"53,625","53,625"
New Mexico,1/11/21,"12,675","12,675"
New York,1/11/21,"68,250","68,250"
New York City,1/11/21,"51,675","51,675"
North Carolina,1/11/21,"61,425","61,425"
North Dakota,1/11/21,"4,875","4,875"
Ohio,1/11/21,"70,200","70,200"
Oklahoma,1/11/21,"23,400","23,400"
Oregon,1/11/21,"25,350","25,350"
Palau,1/11/21,0,0
Pennsylvania,1/11/21,"69,225","69,225"
Philadelphia,1/11/21,"9,750","9,750"
Puerto Rico,1/11/21,"21,450","21,450"
Rhode Island,1/11/21,"6,825","6,825"
South Carolina,1/11/21,"30,225","30,225"
South Dakota,1/11/21,"5,850","5,850"
Tennessee,1/11/21,"39,975","39,975"
Texas,1/11/21,"159,900","159,900"
U.S. Virgin Islands,1/11/21,975,975
Utah,1/11/21,"16,575","16,575"
Vermont,1/11/21,"4,875","4,875"
Virginia,1/11/21,"50,700","50,700"
Washington,1/11/21,"57,525","57,525"
West Virginia,1/11/21,"11,700","11,700"
Wisconsin,1/11/21,"35,100","35,100"
Wyoming,1/11/21,"3,900","3,900"
Alabama,1/4/21,"29,250","29,250"
Alaska,1/4/21,"27,300","27,300"
American Samoa,1/4/21,"7,800",0
Arizona,1/4/21,"41,925","41,925"
Arkansas,1/4/21,"18,525","18,525"
California,1/4/21,"232,050","232,050"
Chicago,1/4/21,"16,575","16,575"
Colorado,1/4/21,"33,150","33,150"
Connecticut,1/4/21,"22,425","22,425"
Delaware,1/4/21,"5,850","5,850"
District of Columbia,1/4/21,"4,875","4,875"
Federal Entities,1/4/21,"117,000","101,400"
Florida,1/4/21,"126,750","126,750"
Georgia,1/4/21,"60,450","60,450"
Guam,1/4/21,"7,800",0
Hawaii,1/4/21,"8,775","8,775"
Idaho,1/4/21,"9,750","9,750"
Illinois,1/4/21,"60,450","60,450"
Indiana,1/4/21,"39,000","39,000"
Iowa,1/4/21,"18,525","18,525"
Kansas,1/4/21,"17,550","17,550"
Kentucky,1/4/21,"27,300","27,300"
Louisiana,1/4/21,"28,275","28,275"
Maine,1/4/21,"8,775","8,775"
Mariana Islands,1/4/21,"7,800",0
Marshall Islands,1/4/21,0,0
Maryland,1/4/21,"36,075","36,075"
Massachusetts,1/4/21,"42,900","42,900"
Michigan,1/4/21,"60,450","60,450"
Micronesia,1/4/21,0,0
Minnesota,1/4/21,"33,150","33,150"
Mississippi,1/4/21,"17,550","17,550"
Missouri,1/4/21,"37,050","37,050"
Montana,1/4/21,"6,825","6,825"
Nebraska,1/4/21,"11,700","11,700"
Nevada,1/4/21,"17,550","17,550"
New Hampshire,1/4/21,"8,775","8,775"
New Jersey,1/4/21,"53,625","53,625"
New Mexico,1/4/21,"12,675","12,675"
New York,1/4/21,"68,250","68,250"
New York City,1/4/21,"51,675","51,675"
North Carolina,1/4/21,"61,425","61,425"
North Dakota,1/4/21,"4,875","4,875"
Ohio,1/4/21,"70,200","70,200"
Oklahoma,1/4/21,"23,400","23,400"
Oregon,1/4/21,"25,350","25,350"
Palau,1/4/21,0,0
Pennsylvania,1/4/21,"69,225","69,225"
Philadelphia,1/4/21,"9,750","9,750"
Puerto Rico,1/4/21,"21,450","21,450"
Rhode Island,1/4/21,"6,825","6,825"
South Carolina,1/4/21,"30,225","30,225"
South Dakota,1/4/21,"5,850","5,850"
Tennessee,1/4/21,"39,975","39,975"
Texas,1/4/21,"158,925","158,925"
U.S. Virgin Islands,1/4/21,975,975
Utah,1/4/21,"16,575","16,575"
Vermont,1/4/21,"3,900","3,900"
Virginia,1/4/21,"50,700","50,700"
Washington,1/4/21,"44,850","44,850"
West Virginia,1/4/21,"11,700","11,700"
Wisconsin,1/4/21,"35,100","35,100"
Wyoming,1/4/21,"3,900","3,900"
Alabama,12/28/20,"38,025","38,025"
Alaska,12/28/20,0,0
American Samoa,12/28/20,0,0
Arizona,12/28/20,"53,625","53,625"
Arkansas,12/28/20,"23,400","23,400"
California,12/28/20,"297,375","297,375"
Chicago,12/28/20,"21,450","21,450"
Colorado,12/28/20,"42,900","42,900"
Connecticut,12/28/20,"28,275","28,275"
Delaware,12/28/20,"7,800","7,800"
District of Columbia,12/28/20,"5,850","5,850"
Federal Entities,12/28/20,"128,700","128,700"
Florida,12/28/20,"162,825","162,825"
Georgia,12/28/20,"77,025","77,025"
Guam,12/28/20,0,0
Hawaii,12/28/20,"11,700","11,700"
Idaho,12/28/20,"12,675","12,675"
Illinois,12/28/20,"78,000","78,000"
Indiana,12/28/20,"50,700","50,700"
Iowa,12/28/20,"24,375","24,375"
Kansas,12/28/20,"22,425","22,425"
Kentucky,12/28/20,"34,125","34,125"
Louisiana,12/28/20,"36,075","36,075"
Maine,12/28/20,"10,725","10,725"
Mariana Islands,12/28/20,0,0
Marshall Islands,12/28/20,0,0
Maryland,12/28/20,"46,800","46,800"
Massachusetts,12/28/20,"54,600","54,600"
Michigan,12/28/20,"77,025","77,025"
Micronesia,12/28/20,0,0
Minnesota,12/28/20,"42,900","42,900"
Mississippi,12/28/20,"22,425","22,425"
Missouri,12/28/20,"46,800","46,800"
Montana,12/28/20,"8,775","8,775"
Nebraska,12/28/20,"14,625","14,625"
Nevada,12/28/20,"22,425","22,425"
New Hampshire,12/28/20,"10,725","10,725"
New Jersey,12/28/20,"68,250","68,250"
New Mexico,12/28/20,"16,575","16,575"
New York,12/28/20,"87,750","87,750"
New York City,12/28/20,"66,300","66,300"
North Carolina,12/28/20,"78,000","78,000"
North Dakota,12/28/20,"5,850","5,850"
Ohio,12/28/20,"89,700","89,700"
Oklahoma,12/28/20,"29,250","29,250"
Oregon,12/28/20,"32,175","32,175"
Palau,12/28/20,0,0
Pennsylvania,12/28/20,"88,725","88,725"
Philadelphia,12/28/20,"12,675","12,675"
Puerto Rico,12/28/20,"27,300","27,300"
Rhode Island,12/28/20,"8,775","8,775"
South Carolina,12/28/20,"39,000","39,000"
South Dakota,12/28/20,"6,825","6,825"
Tennessee,12/28/20,"51,675","51,675"
Texas,12/28/20,"203,775","203,775"
U.S. Virgin Islands,12/28/20,975,975
Utah,12/28/20,"21,450","21,450"
Vermont,12/28/20,"5,850","5,850"
Virginia,12/28/20,"65,325","65,325"
Washington,12/28/20,"57,525","57,525"
West Virginia,12/28/20,"14,625","14,625"
Wisconsin,12/28/20,"44,850","44,850"
Wyoming,12/28/20,"4,875","4,875"
Alabama,12/21/20,"29,250","29,250"
Alaska,12/21/20,0,0
American Samoa,12/21/20,0,0
Arizona,12/21/20,"41,925","41,925"
Arkansas,12/21/20,"18,525","18,525"
California,12/21/20,"233,025","233,025"
Chicago,12/21/20,"16,575","16,575"
Colorado,12/21/20,"33,150","33,150"
Connecticut,12/21/20,"22,425","22,425"
Delaware,12/21/20,"5,850","5,850"
District of Columbia,12/21/20,"4,875","4,875"
Federal Entities,12/21/20,"102,375","102,375"
Florida,12/21/20,"127,725","127,725"
Georgia,12/21/20,"60,450","60,450"
Guam,12/21/20,0,0
Hawaii,12/21/20,"8,775","8,775"
Idaho,12/21/20,"9,750","9,750"
Illinois,12/21/20,"60,450","60,450"
Indiana,12/21/20,"39,975","39,975"
Iowa,12/21/20,"19,500","19,500"
Kansas,12/21/20,"17,550","17,550"
Kentucky,12/21/20,"27,300","27,300"
Louisiana,12/21/20,"28,275","28,275"
Maine,12/21/20,"8,775","8,775"
Mariana Islands,12/21/20,0,0
Marshall Islands,12/21/20,0,0
Maryland,12/21/20,"36,075","36,075"
Massachusetts,12/21/20,"42,900","42,900"
Michigan,12/21/20,"60,450","60,450"
Micronesia,12/21/20,0,0
Minnesota,12/21/20,"33,150","33,150"
Mississippi,12/21/20,"17,550","17,550"
Missouri,12/21/20,"37,050","37,050"
Montana,12/21/20,"6,825","6,825"
Nebraska,12/21/20,"11,700","11,700"
Nevada,12/21/20,"17,550","17,550"
New Hampshire,12/21/20,"8,775","8,775"
New Jersey,12/21/20,"53,625","53,625"
New Mexico,12/21/20,"12,675","12,675"
New York,12/21/20,"68,250","68,250"
New York City,12/21/20,"51,675","51,675"
North Carolina,12/21/20,"61,425","61,425"
North Dakota,12/21/20,"4,875","4,875"
Ohio,12/21/20,"70,200","70,200"
Oklahoma,12/21/20,"23,400","23,400"
Oregon,12/21/20,"25,350","25,350"
Palau,12/21/20,0,0
Pennsylvania,12/21/20,"69,225","69,225"
Philadelphia,12/21/20,"9,750","9,750"
Puerto Rico,12/21/20,"21,450","21,450"
Rhode Island,12/21/20,"6,825","6,825"
South Carolina,12/21/20,"30,225","30,225"
South Dakota,12/21/20,"5,850","5,850"
Tennessee,12/21/20,"39,975","39,975"
Texas,12/21/20,"159,900","159,900"
U.S. Virgin Islands,12/21/20,975,975
Utah,12/21/20,"16,575","16,575"
Vermont,12/21/20,"4,875","4,875"
Virginia,12/21/20,"50,700","50,700"
Washington,12/21/20,"44,850","44,850"
West Virginia,12/21/20,"11,700","11,700"
Wisconsin,12/21/20,"35,100","35,100"
Wyoming,12/21/20,"3,900","3,900"
Alabama,12/14/20,"40,950","40,950"
Alaska,12/14/20,"35,100","35,100"
American Samoa,12/14/20,"5,850",0
Arizona,12/14/20,"58,500","58,500"
Arkansas,12/14/20,"25,350","25,350"
California,12/14/20,"327,600","327,600"
Chicago,12/14/20,"23,400","23,400"
Colorado,12/14/20,"46,800","46,800"
Connecticut,12/14/20,"31,200","31,200"
Delaware,12/14/20,"8,775","8,775"
District of Columbia,12/14/20,"6,825","6,825"
Federal Entities,12/14/20,"156,000","142,350"
Florida,12/14/20,"179,400","179,400"
Georgia,12/14/20,"84,825","84,825"
Guam,12/14/20,"11,700",0
Hawaii,12/14/20,"12,675","12,675"
Idaho,12/14/20,"13,650","13,650"
Illinois,12/14/20,"85,800","85,800"
Indiana,12/14/20,"55,575","55,575"
Iowa,12/14/20,"26,325","26,325"
Kansas,12/14/20,"24,375","24,375"
Kentucky,12/14/20,"38,025","38,025"
Louisiana,12/14/20,"39,000","39,000"
Maine,12/14/20,"12,675","12,675"
Mariana Islands,12/14/20,"5,850",0
Marshall Islands,12/14/20,0,0
Maryland,12/14/20,"50,700","50,700"
Massachusetts,12/14/20,"59,475","59,475"
Michigan,12/14/20,"84,825","84,825"
Micronesia,12/14/20,0,0
Minnesota,12/14/20,"46,800","46,800"
Mississippi,12/14/20,"25,350","25,350"
Missouri,12/14/20,"51,675","51,675"
Montana,12/14/20,"9,750","9,750"
Nebraska,12/14/20,"16,575","16,575"
Nevada,12/14/20,"25,350","25,350"
New Hampshire,12/14/20,"12,675","12,675"
New Jersey,12/14/20,"76,050","76,050"
New Mexico,12/14/20,"17,550","17,550"
New York,12/14/20,"96,525","96,525"
New York City,12/14/20,"73,125","73,125"
North Carolina,12/14/20,"85,800","85,800"
North Dakota,12/14/20,"6,825","6,825"
Ohio,12/14/20,"98,475","98,475"
Oklahoma,12/14/20,"33,150","33,150"
Oregon,12/14/20,"35,100","35,100"
Palau,12/14/20,0,0
Pennsylvania,12/14/20,"97,500","97,500"
Philadelphia,12/14/20,"13,650","13,650"
Puerto Rico,12/14/20,"30,225","30,225"
Rhode Island,12/14/20,"9,750","9,750"
South Carolina,12/14/20,"42,900","42,900"
South Dakota,12/14/20,"7,800","7,800"
Tennessee,12/14/20,"56,550","56,550"
Texas,12/14/20,"224,250","224,250"
U.S. Virgin Islands,12/14/20,975,975
Utah,12/14/20,"23,400","23,400"
Vermont,12/14/20,"5,850","5,850"
Virginia,12/14/20,"72,150","72,150"
Washington,12/14/20,"62,400","62,400"
West Virginia,12/14/20,"16,575","16,575"
Wisconsin,12/14/20,"49,725","49,725"
Wyoming,12/14/20,"4,875","4,875"